Iteration    Combined Objective
        0    9.654551e+01
        1    9.212928e+01
        2    8.766078e+01
        3    8.354094e+01
        4    7.950650e+01
        5    7.579991e+01
        6    7.211119e+01
        7    6.837711e+01
        8    6.496694e+01
        9    6.131401e+01
       10    5.715332e+01
       11    5.387218e+01
       12    5.091046e+01
       13    4.910824e+01
       14    4.736749e+01
       15    4.543127e+01
       16    4.382417e+01
       17    4.171081e+01
       18    4.010118e+01
       19    3.746332e+01
       20    3.606069e+01
       21    3.497975e+01
       22    3.500645e+01
       23    3.404692e+01
       24    3.471008e+01
       25    3.437297e+01
       26    2.929967e+01
       27    2.968679e+01
       28    3.304071e+01
       29    3.242473e+01
       30    3.174020e+01
       31    3.085093e+01
       32    3.027995e+01
